a lot	[ə lɒt]	много
lots of	[lɒts əv]	много / уйма
a bit	[ə bɪt]	немного
a few	[ə fjuː]	несколько
plenty of	[ˈplenti əv]	достаточно / много
per cent	[pə ˈsent]	процент
at all	[ət ɔːl]	вообще (в отрицаниях)
in advance	[ɪn ədˈvɑːns]	заранее
at once	[ət wʌns]	немедленно / сразу
due to	[djuː tuː]	из-за / благодаря
according to	[əˈkɔːdɪŋ tuː]	согласно
in spite of	[ɪn spaɪt əv]	несмотря на
because of	[bɪˈkɒz əv]	из-за
on your own	[ɒn jɔːr əʊn]	самостоятельно
by yourself	[baɪ jɔːˈself]	сам (один)
by myself	[baɪ maɪˈself]	сам / самостоятельно
for the sake	[fə ðə seɪk]	ради
vice versa	[ˌvaɪs ˈvɜːsə]	наоборот
in a nutshell	[ɪn ə ˈnʌtʃel]	в двух словах
sooner or later	[ˈsuːnər ɔː ˈleɪtə]	рано или поздно
tomorrow	[təˈmɒrəʊ]	завтра
someday	[ˈsʌmdeɪ]	когда-нибудь
right now	[raɪt naʊ]	прямо сейчас
urgent	[ˈɜːdʒənt]	срочный
in front of	[ɪn frʌnt əv]	перед
suburbs	[ˈsʌbɜːbz]	пригород
living room	[ˈlɪvɪŋ ruːm]	гостиная
dining room	[ˈdaɪnɪŋ ruːm]	столовая
swimming pool	[ˈswɪmɪŋ puːl]	бассейн
aqua park	[ˈækwə pɑːk]	аквапарк
railway station	[ˈreɪlweɪ ˈsteɪʃən]	вокзал
police station	[pəˈliːs ˈsteɪʃən]	полицейский участок
petrol station	[ˈpetrəl ˈsteɪʃən]	заправка
country house	[ˈkʌntri haʊs]	загородный дом
online store	[ɒnˈlaɪn stɔː]	интернет-магазин
parents	[ˈpeərənts]	родители
elder sister	[ˈeldə ˈsɪstə]	старшая сестра
younger brother	[ˈjʌŋɡə ˈbrʌðə]	младший брат
native speaker	[ˌneɪtɪv ˈspiːkə]	носитель языка
groupmate	[ˈɡruːpmeɪt]	одногруппник
shop assistant	[ʃɒp əˈsɪstənt]	продавец
businessman	[ˈbɪznəsmæn]	бизнесмен
businesswoman	[ˈbɪznəswʊmən]	бизнес-леди
prime minister	[praɪm ˈmɪnɪstə]	премьер-министр
co-founder	[kəʊ ˈfaʊndə]	сооснователь
others	[ˈʌðəz]	другие
no one	[ˈnəʊ wʌn]	никто
ice cream	[aɪs kriːm]	мороженое
vegetables	[ˈvedʒtəbəlz]	овощи
beans	[biːnz]	бобы / фасоль
chewing gum	[ˈtʃuːɪŋ ɡʌm]	жвачка
sushi	[ˈsuːʃi]	суши
potatoes	[pəˈteɪtəʊz]	картофель
alarm clock	[əˈlɑːm klɒk]	будильник
whiteboard	[ˈwaɪtbɔːd]	белая доска
remote control	[rɪˈməʊt kənˈtrəʊl]	пульт
T-shirt	[ˈtiː ʃɜːt]	футболка
shoes	[ʃuːz]	обувь
trainers	[ˈtreɪnəz]	кроссовки
rollerblades	[ˈrəʊləbleɪdz]	ролики
swimming suit	[ˈswɪmɪŋ suːt]	купальник
seatbelt	[ˈsiːtbelt]	ремень безопасности
curtains	[ˈkɜːtənz]	шторы
nails	[neɪlz]	гвозди / ногти
vacuum cleaner	[ˈvækjuːm kliːnə]	пылесос
washing machine	[ˈwɒʃɪŋ məˈʃiːn]	стиральная машина
credit card	[ˈkredɪt kɑːd]	кредитка
cell phone	[ˈsel fəʊn]	мобильник
e-book	[ˈiː bʊk]	электронная книга
